,subjects,linkedGenes
105,"('ZJXC41N_Prediabetic', 'ZTLIFAS_Prediabetic')","['A1C+clinical', 'NA.+clinical', 'class_Bacilli+gut', 'order_Lactobacillales+gut', 'ANKAR+RNAseq', 'AP2A1+RNAseq', 'ARL6IP5+RNAseq', 'B3GALNT2+RNAseq', 'BTBD19+RNAseq', 'C6orf25+RNAseq', 'CCDC7+RNAseq', 'CD300LB+RNAseq', 'DEDD+RNAseq', 'DOK4+RNAseq', 'EDEM1+RNAseq', 'GBP4+RNAseq', 'GMNN+RNAseq', 'IER2+RNAseq', 'IMP3+RNAseq', 'LOC100130357+RNAseq', 'LOC101927272+RNAseq', 'LOC101927688+RNAseq', 'LTBP3+RNAseq', '6-Mar+RNAseq', 'MARS+RNAseq', 'MRAP+RNAseq', 'NDRG2+RNAseq', 'NOTCH4+RNAseq', 'OPA3+RNAseq', 'PLTP+RNAseq', 'PSME1+RNAseq', 'PTTG1IP+RNAseq', 'RAB11B+RNAseq', 'SDF2+RNAseq', 'SOX30+RNAseq', 'TAF6+RNAseq', 'TAPBP+RNAseq', 'WDR96+RNAseq', 'ZCCHC18+RNAseq']"
106,"('ZJXC41N_Prediabetic', 'ZTLUDS8_Prediabetic')","['A1CF+RNAseq', 'ABHD16A+RNAseq', 'ACIN1+RNAseq', 'ACO1+RNAseq', 'ACSM3+RNAseq', 'ADAMTSL4+RNAseq', 'ADCY10+RNAseq', 'AIM2+RNAseq', 'ALG12+RNAseq', 'ANKRD36BP1+RNAseq', 'ANKRD39+RNAseq', 'APOL3+RNAseq', 'ARID2+RNAseq', 'ARMC7+RNAseq', 'ATF7IP+RNAseq', 'ATG7+RNAseq', 'ATL1+RNAseq', 'ATP2A2+RNAseq', 'ATP2C1+RNAseq', 'ATP5S+RNAseq', 'BAZ2A+RNAseq', 'BBS4+RNAseq', 'BRCA2+RNAseq', 'BRIX1+RNAseq', 'BSG+RNAseq', 'BUD31+RNAseq', 'BZRAP1-AS1+RNAseq', 'C11orf83+RNAseq', 'C14orf178+RNAseq', 'C17orf80+RNAseq', 'C19orf83+RNAseq', 'C1QBP+RNAseq', 'C1orf112+RNAseq', 'C8orf59+RNAseq', 'CARM1+RNAseq', 'CCBL2+RNAseq', 'CCDC167+RNAseq', 'CCT6P3+RNAseq', 'CD3D+RNAseq', 'CDC16+RNAseq', 'CDH23+RNAseq', 'CELSR3-AS1+RNAseq', 'CEP19+RNAseq', 'CERS2+RNAseq', 'CHAD+RNAseq', 'CHEK1+RNAseq', 'CIPC+RNAseq', 'CLIP1-AS1+RNAseq', 'CLMN+RNAseq', 'COL19A1+RNAseq', 'COLCA2+RNAseq', 'CORO1C+RNAseq', 'CP+RNAseq', 'CPNE5+RNAseq', 'CPNE6+RNAseq', 'CREB3+RNAseq', 'CTC-436P18.1+RNAseq', 'CX3CR1+RNAseq', 'DCLRE1A+RNAseq', 'DDX28+RNAseq', 'DDX55+RNAseq', 'DGCR8+RNAseq', 'DHODH+RNAseq', 'DHX9+RNAseq', 'DMXL2+RNAseq', 'DNAH17+RNAseq', 'DNAJA4+RNAseq', 'DNAJB12+RNAseq', 'DOPEY1+RNAseq', 'EDC3+RNAseq', 'EIF4G2+RNAseq', 'EMC9+RNAseq', 'EXOSC9+RNAseq', 'FAM111A+RNAseq', 'FAM175A+RNAseq', 'FAM178A+RNAseq', 'FAM26E+RNAseq', 'FAM87B+RNAseq', 'FBXO18+RNAseq', 'FERMT3+RNAseq', 'FGR+RNAseq', 'FRMPD3-AS1+RNAseq', 'FSD2+RNAseq', 'FTSJ3+RNAseq', 'G6PD+RNAseq', 'GGA2+RNAseq', 'GLI1+RNAseq', 'GLUD1+RNAseq', 'GNAI2+RNAseq', 'GPATCH11+RNAseq', 'GPR3+RNAseq', 'GTF2H1+RNAseq', 'GTF2IRD1P1+RNAseq', 'GUCD1+RNAseq', 'HCRTR1+RNAseq', 'HIPK1-AS1+RNAseq', 'HK2+RNAseq', 'HLTF+RNAseq', 'IFIT5+RNAseq', 'IL12A-AS1+RNAseq', 'IL18BP+RNAseq', 'IL21R-AS1+RNAseq', 'ILF3-AS1+RNAseq', 'IMP3+RNAseq', 'INCA1+RNAseq', 'INSIG1+RNAseq', 'ITGA9+RNAseq', 'ITPK1-AS1+RNAseq', 'KCNMB3+RNAseq', 'KDM4A-AS1+RNAseq', 'KIAA0391+RNAseq', 'KIAA0895L+RNAseq', 'KMT2E-AS1+RNAseq', 'KPNA4+RNAseq', 'LHPP+RNAseq', 'LIME1+RNAseq', 'LINC00649+RNAseq', 'LINC01023+RNAseq', 'LMO7-AS1+RNAseq', 'LNX1+RNAseq', 'LOC100130093+RNAseq', 'LOC101243545+RNAseq', 'LOC101927492+RNAseq', 'LOC101927950+RNAseq', 'LOC101928053+RNAseq', 'LOC101928063+RNAseq', 'LOC101928243+RNAseq', 'LOC101928363+RNAseq', 'LOC101929657+RNAseq', 'LOC154761+RNAseq', 'LOC643542+RNAseq', 'LRRC14+RNAseq', 'LRRC16B+RNAseq', 'LRRN2+RNAseq', 'LYL1+RNAseq', 'MAP1LC3A+RNAseq', 'MAP3K4+RNAseq', 'MARS+RNAseq', 'MBTD1+RNAseq', 'MEF2A+RNAseq', 'MIR1282+RNAseq', 'MIR4505+RNAseq', 'MKNK1-AS1+RNAseq', 'MNDA+RNAseq', 'MRPL20+RNAseq', 'MRPL47+RNAseq', 'MRPS25+RNAseq', 'MRRF+RNAseq', 'MSTO2P+RNAseq', 'MTRNR2L1+RNAseq', 'MTRNR2L8+RNAseq', 'NAGPA-AS1+RNAseq', 'NANS+RNAseq', 'NCAPG+RNAseq', 'NDUFB2+RNAseq', 'NFIA-AS1+RNAseq', 'NFIL3+RNAseq', 'NFYC-AS1+RNAseq', 'NOX1+RNAseq', 'NPRL2+RNAseq', 'NSUN4+RNAseq', 'NUP85+RNAseq', 'OAZ3+RNAseq', 'OSBPL10-AS1+RNAseq', 'OSBPL8+RNAseq', 'P2RX7+RNAseq', 'PACS1+RNAseq', 'PAGR1+RNAseq', 'PARP9+RNAseq', 'PAX5+RNAseq', 'PCK2+RNAseq', 'PCM1+RNAseq', 'PCSK1+RNAseq', 'PDAP1+RNAseq', 'POLM+RNAseq', 'POU5F1P4+RNAseq', 'PPID+RNAseq', 'PPP1R2+RNAseq', 'PPP2R2A+RNAseq', 'PRKDC+RNAseq', 'PROB1+RNAseq', 'PRR34+RNAseq', 'PRSS8+RNAseq', 'QPCTL+RNAseq', 'RAB6B+RNAseq', 'RANBP1+RNAseq', 'RASGRP3+RNAseq', 'REEP3+RNAseq', 'REEP5+RNAseq', 'RNF6+RNAseq', 'RNLS+RNAseq', 'SAMD4A+RNAseq', 'SC5D+RNAseq', 'SCP2+RNAseq', 'SCYL3+RNAseq', 'SDF2+RNAseq', 'SDR39U1+RNAseq', 'SGMS2+RNAseq', 'SIRT5+RNAseq', 'SKIV2L2+RNAseq', 'SLC20A2+RNAseq', 'SLC25A30-AS1+RNAseq', 'SLC38A4+RNAseq', 'SLC3A1+RNAseq', 'SLC51A+RNAseq', 'SLC5A10+RNAseq', 'SMARCA5-AS1+RNAseq', 'SMTNL1+RNAseq', 'SNIP1+RNAseq', 'SPTAN1+RNAseq', 'SRGAP3-AS3+RNAseq', 'SRGN+RNAseq', 'STIM2+RNAseq', 'SUMF2+RNAseq', 'SUMO1P3+RNAseq', 'SUV39H1+RNAseq', 'SUV39H2+RNAseq', 'SYVN1+RNAseq', 'TANC1+RNAseq', 'TCP1+RNAseq', 'THBS2+RNAseq', 'TICAM2+RNAseq', 'TIMM8B+RNAseq', 'TMED10+RNAseq', 'TOM1+RNAseq', 'TPGS2+RNAseq', 'TPTE2P5+RNAseq', 'TRAM2+RNAseq', 'TRIM23+RNAseq', 'TRIM7+RNAseq', 'TXNDC11+RNAseq', 'UBE2D4+RNAseq', 'UBL4A+RNAseq', 'UBL7-AS1+RNAseq', 'UBXN8+RNAseq', 'UNK+RNAseq', 'USP50+RNAseq', 'UTS2B+RNAseq', 'UXT-AS1+RNAseq', 'VKORC1L1+RNAseq', 'VPS4A+RNAseq', 'XPC+RNAseq', 'XRRA1+RNAseq', 'XYLT1+RNAseq', 'YWHAB+RNAseq', 'ZBTB33+RNAseq', 'ZDHHC5+RNAseq', 'ZFAT-AS1+RNAseq', 'ZNF148+RNAseq', 'ZNF324+RNAseq', 'ZNF436+RNAseq', 'ZNF644+RNAseq', 'ZNF764+RNAseq', 'ZNF780B+RNAseq', 'ZNF865+RNAseq']"
107,"('ZJXC41N_Prediabetic', 'ZTMFN3O_Prediabetic')","['IL12P70+cytokine', 'family_Rikenellaceae+gut', 'genus_Alistipes+gut', 'order_Bacillales+nares', 'ADAMTS13+RNAseq', 'CLN8+RNAseq', 'DOCK9-AS1+RNAseq', 'FUCA2+RNAseq', 'GSK3A+RNAseq', 'ILF3-AS1+RNAseq', 'LINC00607+RNAseq', 'LYPLA2+RNAseq', 'PCNT+RNAseq', 'PGP+RNAseq', 'PRR5L+RNAseq', 'RPS27A+RNAseq', 'SNAP29+RNAseq', 'TBXAS1+RNAseq', 'TRIM39+RNAseq', 'TSC1+RNAseq', 'TTC16+RNAseq', 'ZEB2-AS1+RNAseq', 'ZSWIM7+RNAseq']"
108,"('ZJXC41N_Prediabetic', 'ZTXWLP3_Control')","['genus_Oscillibacter+gut', 'FRMD7+RNAseq', 'SLC26A4-AS1+RNAseq']"
109,"('ZJXC41N_Prediabetic', 'ZTXY83G_Control')","['EOSAB+clinical', 'IL17F+cytokine', 'IFNB+cytokine', 'ABHD8+RNAseq', 'ABI3+RNAseq', 'ACOT13+RNAseq', 'ACVR2B+RNAseq', 'ADCK2+RNAseq', 'ADORA2A-AS1+RNAseq', 'ANKRD42+RNAseq', 'AP1AR+RNAseq', 'BPGM+RNAseq', 'C14orf183+RNAseq', 'C15orf40+RNAseq', 'C1QL3+RNAseq', 'CALML4+RNAseq', 'CBR3-AS1+RNAseq', 'CCDC66+RNAseq', 'CEP170+RNAseq', 'CERKL+RNAseq', 'CRYBG3+RNAseq', 'CYP2A7+RNAseq', 'DHX30+RNAseq', 'DPY19L2P3+RNAseq', 'FAM175A+RNAseq', 'FAM86A+RNAseq', 'GALC+RNAseq', 'GGACT+RNAseq', 'GSN-AS1+RNAseq', 'IFT20+RNAseq', 'INPP5F+RNAseq', 'IRF2BP2+RNAseq', 'JMJD4+RNAseq', 'KLF6+RNAseq', 'L3MBTL2+RNAseq', 'LASP1+RNAseq', 'LOC100130872+RNAseq', 'LOC100507217+RNAseq', 'LOC100996447+RNAseq', 'LOXL1-AS1+RNAseq', '6-Mar+RNAseq', 'MED12L+RNAseq', 'MIR199A1+RNAseq', 'MVD+RNAseq', 'NEURL2+RNAseq', 'NUTM2A+RNAseq', 'PDLIM2+RNAseq', 'PHACTR1+RNAseq', 'PLTP+RNAseq', 'POLR1A+RNAseq', 'PPP2CA+RNAseq', 'RANGRF+RNAseq', 'RBM33+RNAseq', 'RCBTB2+RNAseq', 'ROMO1+RNAseq', 'S100A10+RNAseq', 'SLC3A1+RNAseq', 'TAF6+RNAseq', 'TOR1B+RNAseq', 'TRABD+RNAseq', 'TSR1+RNAseq', 'UBA6+RNAseq', 'YIF1B+RNAseq']"
110,"('ZJXC41N_Prediabetic', 'ZUC2YGO_Prediabetic')","['BUN+clinical', 'IFNB+cytokine', 'TNFA+cytokine', 'class_Erysipelotrichia+gut', 'order_Erysipelotrichales+gut', 'family_Erysipelotrichaceae+gut', 'genus_unclassified_Coriobacteriaceae+gut', 'ALG13+RNAseq', 'ALX3+RNAseq', 'ANGPTL4+RNAseq', 'ARSK+RNAseq', 'ASB9P1+RNAseq', 'ASH1L+RNAseq', 'ATE1+RNAseq', 'C1orf95+RNAseq', 'C4orf19+RNAseq', 'CCDC82+RNAseq', 'CERK+RNAseq', 'CHKA+RNAseq', 'CHRNB2+RNAseq', 'CLCF1+RNAseq', 'DCP2+RNAseq', 'DHDDS+RNAseq', 'DPYD-AS2+RNAseq', 'ERCC6L2+RNAseq', 'ERMP1+RNAseq', 'ERVFRD-1+RNAseq', 'FAM134B+RNAseq', 'GBF1+RNAseq', 'GCHFR+RNAseq', 'GPR171+RNAseq', 'GSAP+RNAseq', 'HEATR2+RNAseq', 'HEPHL1+RNAseq', 'HLA-H+RNAseq', 'HPS4+RNAseq', 'HSPA1A+RNAseq', 'IL23A+RNAseq', 'IL6ST+RNAseq', 'KIAA1429+RNAseq', 'LINC00936+RNAseq', 'LOC100268168+RNAseq', 'LOC102724484+RNAseq', 'LPP-AS1+RNAseq', 'MAMDC2+RNAseq', 'MIR4298+RNAseq', 'MIR4505+RNAseq', 'MIR550B1+RNAseq', 'MLH3+RNAseq', 'NDFIP1+RNAseq', 'NR4A2+RNAseq', 'PHYHD1+RNAseq', 'PPP2R5C+RNAseq', 'RAB11FIP3+RNAseq', 'RAB30+RNAseq', 'RBP2+RNAseq', 'RHOBTB3+RNAseq', 'RNF31+RNAseq', 'RNPEPL1+RNAseq', 'RPS6KL1+RNAseq', 'RTN4IP1+RNAseq', 'SDCBP2-AS1+RNAseq', 'SEMA4B+RNAseq', 'SH3GL1P2+RNAseq', 'SVILP1+RNAseq', 'TADA1+RNAseq', 'TARSL2+RNAseq', 'TMEM52B+RNAseq', 'TOP1+RNAseq', 'TTC23+RNAseq', 'UBQLN2+RNAseq', 'ZNF316+RNAseq', 'ZNF641+RNAseq', 'ZNF687+RNAseq']"
111,"('ZJXC41N_Prediabetic', 'ZUF48YS_Prediabetic')",[]
112,"('ZJXC41N_Prediabetic', 'ZUG7QHE_Prediabetic')","['family_Bacillaceae.1+nares', 'BTAF1+RNAseq', 'C10orf105+RNAseq', 'CHRNA3+RNAseq', 'GLTPD2+RNAseq', 'LOC115110+RNAseq', 'LOC728752+RNAseq', 'LPP-AS2+RNAseq', 'MIR762+RNAseq', 'NAV1+RNAseq', 'PDP1+RNAseq', 'PLIN4+RNAseq', 'RAB6A+RNAseq', 'RILPL1+RNAseq', 'RNF125+RNAseq', 'SEL1L+RNAseq', 'SNX21+RNAseq', 'ZNF429+RNAseq']"
113,"('ZJXC41N_Prediabetic', 'ZUL3S6O_Prediabetic')","['family_Clostridiaceae.1+gut', 'genus_Blautia+gut', 'genus_Clostridium.sensu.stricto+gut', 'genus_Lachnospiracea_incertae_sedis+gut', 'CBLL1+RNAseq', 'CCAT2+RNAseq', 'GAS7+RNAseq', 'KIAA0232+RNAseq', 'NEK11+RNAseq', 'NPIPB6+RNAseq', 'RDX+RNAseq', 'SLC36A3+RNAseq', 'SNTA1+RNAseq']"
114,"('ZJXC41N_Prediabetic', 'ZUPAQVU_Prediabetic')","['AAMP+RNAseq', 'ABCA2+RNAseq', 'ABCB8+RNAseq', 'ABHD2+RNAseq', 'ACAT2+RNAseq', 'ACOT9+RNAseq', 'ACTR3C+RNAseq', 'ACVR2B+RNAseq', 'ADCY10+RNAseq', 'ADCY7+RNAseq', 'AFG3L2+RNAseq', 'AGPAT6+RNAseq', 'AHCTF1+RNAseq', 'ALG12+RNAseq', 'ANAPC15+RNAseq', 'ANO8+RNAseq', 'AOAH+RNAseq', 'ARG2+RNAseq', 'ARHGAP17+RNAseq', 'ARHGAP5-AS1+RNAseq', 'ASCC1+RNAseq', 'ATAD1+RNAseq', 'ATG7+RNAseq', 'ATP6V1C2+RNAseq', 'BBIP1+RNAseq', 'BID+RNAseq', 'BOD1L1+RNAseq', 'BZRAP1-AS1+RNAseq', 'C10orf10+RNAseq', 'C10orf54+RNAseq', 'C11orf57+RNAseq', 'C12orf71+RNAseq', 'C17orf89+RNAseq', 'C19orf44+RNAseq', 'C1QBP+RNAseq', 'C1orf123+RNAseq', 'C1orf56+RNAseq', 'C21orf119+RNAseq', 'C4orf45+RNAseq', 'C9orf3+RNAseq', 'C9orf37+RNAseq', 'CACNA2D4+RNAseq', 'CAPN7+RNAseq', 'CARM1+RNAseq', 'CCDC168+RNAseq', 'CCDC7+RNAseq', 'CCDC73+RNAseq', 'CD63+RNAseq', 'CD93+RNAseq', 'CDC16+RNAseq', 'CEMP1+RNAseq', 'CEP76+RNAseq', 'CERKL+RNAseq', 'CHCHD2+RNAseq', 'CHKA+RNAseq', 'CHMP7+RNAseq', 'CHRNB2+RNAseq', 'CLDN2+RNAseq', 'CLN5+RNAseq', 'CNKSR2+RNAseq', 'CNOT4+RNAseq', 'CNRIP1+RNAseq', 'CNTROB+RNAseq', 'CORO1C+RNAseq', 'CP+RNAseq', 'CPB2+RNAseq', 'CPSF3+RNAseq', 'CRB2+RNAseq', 'CRHR2+RNAseq', 'CTBP1-AS+RNAseq', 'CTC-436P18.1+RNAseq', 'CTC1+RNAseq', 'CXCL5+RNAseq', 'CYTIP+RNAseq', 'DDX55+RNAseq', 'DDX59+RNAseq', 'DENND1C+RNAseq', 'DGUOK-AS1+RNAseq', 'DIS3+RNAseq', 'DKFZP434H168+RNAseq', 'DLGAP4+RNAseq', 'DNAJC1+RNAseq', 'DNAJC7+RNAseq', 'DOCK3+RNAseq', 'DOK4+RNAseq', 'EIF2AK1+RNAseq', 'EIF3M+RNAseq', 'ELL2+RNAseq', 'EMBP1+RNAseq', 'EMILIN1+RNAseq', 'ENDOG+RNAseq', 'F2R+RNAseq', 'FAM217B+RNAseq', 'FAM228B+RNAseq', 'FAM65B+RNAseq', 'FANCL+RNAseq', 'FARP1+RNAseq', 'FAU+RNAseq', 'FEN1+RNAseq', 'FER+RNAseq', 'FER1L5+RNAseq', 'FKBP8+RNAseq', 'FLJ22184+RNAseq', 'FLJ46906+RNAseq', 'FRMD3+RNAseq', 'FSD2+RNAseq', 'FURIN+RNAseq', 'GAS5-AS1+RNAseq', 'GATC+RNAseq', 'GCHFR+RNAseq', 'GNAL+RNAseq', 'GNB3+RNAseq', 'GTF2IRD1P1+RNAseq', 'GUCD1+RNAseq', 'HEATR1+RNAseq', 'HIST1H1B+RNAseq', 'HIVEP3+RNAseq', 'HMGN2P46+RNAseq', 'HSCB+RNAseq', 'ICAM3+RNAseq', 'IDH3A+RNAseq', 'IFT74+RNAseq', 'IGFALS+RNAseq', 'IGFBP7+RNAseq', 'IL12RB1+RNAseq', 'IL18BP+RNAseq', 'IL4R+RNAseq', 'INE2+RNAseq', 'ISYNA1+RNAseq', 'JARID2-AS1+RNAseq', 'KCNJ1+RNAseq', 'KCTD7+RNAseq', 'KDM4A-AS1+RNAseq', 'KIAA1731+RNAseq', 'KRR1+RNAseq', 'LCP1+RNAseq', 'LCTL+RNAseq', 'LINC00892+RNAseq', 'LINC00899+RNAseq', 'LINC01353+RNAseq', 'LMO7-AS1+RNAseq', 'LNX1+RNAseq', 'LOC100128568+RNAseq', 'LOC100129697+RNAseq', 'LOC100287042+RNAseq', 'LOC100379224+RNAseq', 'LOC101927117+RNAseq', 'LOC101927795+RNAseq', 'LOC101928243+RNAseq', 'LOC101929760+RNAseq', 'LPAR5+RNAseq', 'MAN1B1+RNAseq', 'MANF+RNAseq', 'MAP2K7+RNAseq', 'MAP3K15+RNAseq', 'MAP6D1+RNAseq', '7-Mar+RNAseq', 'MARCKSL1+RNAseq', 'MARS+RNAseq', 'MASTL+RNAseq', 'MCMDC2+RNAseq', 'MED15+RNAseq', 'METTL5+RNAseq', 'MIEF1+RNAseq', 'MIPEPP3+RNAseq', 'MIR1282+RNAseq', 'MIR3661+RNAseq', 'MIR4253+RNAseq', 'MROH6+RNAseq', 'MRPS18C+RNAseq', 'MSC+RNAseq', 'MSX2P1+RNAseq', 'MTIF3+RNAseq', 'MYO15B+RNAseq', 'NAA25+RNAseq', 'NAGPA-AS1+RNAseq', 'NCF1B+RNAseq', 'NCOA7+RNAseq', 'NCR3+RNAseq', 'NFIA-AS1+RNAseq', 'NFKBIL1+RNAseq', 'NMI+RNAseq', 'NPRL2+RNAseq', 'NR4A2+RNAseq', 'NUP85+RNAseq', 'NUTM2A+RNAseq', 'OAZ3+RNAseq', 'OGDH+RNAseq', 'OPA1-AS1+RNAseq', 'PAQR6+RNAseq', 'PARP2+RNAseq', 'PAX5+RNAseq', 'PDAP1+RNAseq', 'PDCD6IP+RNAseq', 'PEX10+RNAseq', 'PEX3+RNAseq', 'PHC1+RNAseq', 'PI4K2A+RNAseq', 'PIGB+RNAseq', 'PLAC9+RNAseq', 'PLEKHA8P1+RNAseq', 'POR+RNAseq', 'PP2D1+RNAseq', 'PPARD+RNAseq', 'PQLC1+RNAseq', 'PRG4+RNAseq', 'PSMD9+RNAseq', 'PTCHD1+RNAseq', 'PTPN22+RNAseq', 'PURB+RNAseq', 'PYROXD1+RNAseq', 'RAB1A+RNAseq', 'RALGDS+RNAseq', 'RAMP3+RNAseq', 'RASGEF1A+RNAseq', 'RBMX2+RNAseq', 'RECQL5+RNAseq', 'RLIM+RNAseq', 'RNF207+RNAseq', 'RNLS+RNAseq', 'RPAIN+RNAseq', 'RPL36A+RNAseq', 'RPS14+RNAseq', 'RQCD1+RNAseq', 'RUSC1-AS1+RNAseq', 'SLA2+RNAseq', 'SLC12A6+RNAseq', 'SLC16A11+RNAseq', 'SLC25A24+RNAseq', 'SLC44A1+RNAseq', 'SLC4A5+RNAseq', 'SLC9A1+RNAseq', 'SLC9B1+RNAseq', 'SLC9C1+RNAseq', 'SMAD4+RNAseq', 'SMIM22+RNAseq', 'SMIM5+RNAseq', 'SMPD2+RNAseq', 'SMTNL1+RNAseq', 'SNRK-AS1+RNAseq', 'SOX4+RNAseq', 'SPAG17+RNAseq', 'SPDYA+RNAseq', 'SRRM5+RNAseq', 'SSB+RNAseq', 'SYNC+RNAseq', 'SYVN1+RNAseq', 'TAF5+RNAseq', 'TCEB2+RNAseq', 'TCP11L1+RNAseq', 'TIGD7+RNAseq', 'TIMM8B+RNAseq', 'TLK1+RNAseq', 'TLR5+RNAseq', 'TMEM179B+RNAseq', 'TMEM44+RNAseq', 'TMEM97+RNAseq', 'TPCN2+RNAseq', 'TRIM13+RNAseq', 'TRIM45+RNAseq', 'TRIM6+RNAseq', 'TRIP11+RNAseq', 'TSPAN11+RNAseq', 'TSPAN16+RNAseq', 'TSSK6+RNAseq', 'TTYH3+RNAseq', 'TXNDC11+RNAseq', 'USP10+RNAseq', 'USP15+RNAseq', 'USP16+RNAseq', 'USP50+RNAseq', 'VDAC1+RNAseq', 'VIL1+RNAseq', 'VRK2+RNAseq', 'WIBG+RNAseq', 'XPC+RNAseq', 'YTHDC2+RNAseq', 'ZNF217+RNAseq', 'ZNF266+RNAseq', 'ZNF32-AS1+RNAseq', 'ZNF32-AS2+RNAseq', 'ZNF41+RNAseq', 'ZNF48+RNAseq', 'ZNF497+RNAseq', 'ZNF503-AS2+RNAseq', 'ZNF549+RNAseq', 'ZNF582+RNAseq', 'ZNF614+RNAseq', 'ZNF671+RNAseq', 'ZNF689+RNAseq', 'ZNF829+RNAseq', 'ZNF878+RNAseq']"
